number,commit_len,base_commit_sha,first_commit_sha,merge_commit_sha,created_at,merged_at,merged_by,1-n_url
21,11,90d62f6668feb109906b1d9089c9b9ef9da48a36,10e781c7e4f92ad84ee9142f6d255408ccf6de85,5ee61c8bf9ee9478b982912f3e7650e378a050d6,2019-02-05 14:57:18,2019-02-28 00:55:52,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/10e781c7e4f92ad84ee9142f6d255408ccf6de85...5ee61c8bf9ee9478b982912f3e7650e378a050d6.diff
23,1,34344a9d9ccdb200e2bcc1e4da09f6d2507fc164,a4afdd5d2e542d3ddee15da75652b80462fab312,a4afdd5d2e542d3ddee15da75652b80462fab312,2019-02-06 18:53:29,2019-02-12 15:15:58,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/a4afdd5d2e542d3ddee15da75652b80462fab312...a4afdd5d2e542d3ddee15da75652b80462fab312.diff
24,2,90d62f6668feb109906b1d9089c9b9ef9da48a36,cdb3861fe7439b0ea294a67bd521c01136dba035,b5c5a123a30bad0b1d8d5314ed7da6074b9c2cdc,2019-02-12 23:23:37,2019-02-28 00:56:26,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/cdb3861fe7439b0ea294a67bd521c01136dba035...b5c5a123a30bad0b1d8d5314ed7da6074b9c2cdc.diff
26,2,6cc38460b42fa35a4f7cc74b39a2d41cb9613304,6648e21288789cef6c1fefdef178245305b9d755,3391d7f73c0d68bb90e9a3917cdc12d9665e0bcb,2019-02-15 02:04:58,2019-03-27 22:51:26,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/6648e21288789cef6c1fefdef178245305b9d755...3391d7f73c0d68bb90e9a3917cdc12d9665e0bcb.diff
27,1,90d62f6668feb109906b1d9089c9b9ef9da48a36,7de6997961beb1cf571f43b8552b8501a60a7fc5,7de6997961beb1cf571f43b8552b8501a60a7fc5,2019-02-27 20:51:39,2019-02-28 04:47:41,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/7de6997961beb1cf571f43b8552b8501a60a7fc5...7de6997961beb1cf571f43b8552b8501a60a7fc5.diff
28,2,78f883fd6924c39bc6288def1c718972adc86c83,6d1025a47b9b80fc486b7c42d40a73ee4ea8f525,5bcd9e3f56cbe678baec60b16559674f32e850f0,2019-02-27 20:55:44,2019-03-02 18:22:44,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/6d1025a47b9b80fc486b7c42d40a73ee4ea8f525...5bcd9e3f56cbe678baec60b16559674f32e850f0.diff
29,1,0d97bb87d54b8821f03ea9f8747b4c726ca04826,15217d772b176f70d7c0d55d978431f54243ca99,15217d772b176f70d7c0d55d978431f54243ca99,2019-03-01 03:10:44,2019-03-05 17:51:33,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/15217d772b176f70d7c0d55d978431f54243ca99...15217d772b176f70d7c0d55d978431f54243ca99.diff
30,2,78f883fd6924c39bc6288def1c718972adc86c83,40f6cbddabcb1a0cd3d7782e947a02c3e013f9ba,7b134fb8969e16fbdce79b581d8a69e1babf814a,2019-03-01 18:25:09,2019-03-01 22:04:04,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/40f6cbddabcb1a0cd3d7782e947a02c3e013f9ba...7b134fb8969e16fbdce79b581d8a69e1babf814a.diff
31,1,0d97bb87d54b8821f03ea9f8747b4c726ca04826,d50c876fa0a9cf8a2342b437c00449b62bba9918,d50c876fa0a9cf8a2342b437c00449b62bba9918,2019-03-02 18:35:18,2019-03-14 17:50:34,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/d50c876fa0a9cf8a2342b437c00449b62bba9918...d50c876fa0a9cf8a2342b437c00449b62bba9918.diff
35,2,9c53bcbef9e6afb056dde625c7c3f22beb882143,89a2485715748e55dd2cf102ef74d6888a4ff30a,1d625208457565738e9f2ca13b29550da88f2535,2019-03-13 16:25:15,2019-03-27 16:41:23,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/89a2485715748e55dd2cf102ef74d6888a4ff30a...1d625208457565738e9f2ca13b29550da88f2535.diff
36,2,9c53bcbef9e6afb056dde625c7c3f22beb882143,e4e2d21f4aec937e1ff639e64cdbef5053c46944,ec835d1459e1847ec478254082403e385aed35e8,2019-03-13 16:25:37,2019-03-27 16:43:05,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/e4e2d21f4aec937e1ff639e64cdbef5053c46944...ec835d1459e1847ec478254082403e385aed35e8.diff
