18,mediacenterjs,OTHER,https://github.com/jansmolders86/mediacenterjs/commit/241d108afbf5b0bb701604fa8092a836399cf7f2,151dfb0e32dbc798b5fba9951f834ec838106b6f,241d108afbf5b0bb701604fa8092a836399cf7f2,'ClassNA','MethodNA',0
19,mediacenterjs,OTHER,https://github.com/jansmolders86/mediacenterjs/commit/151dfb0e32dbc798b5fba9951f834ec838106b6f,0f20dc996e84249c2290b8c8c8d832198b4b48b6,151dfb0e32dbc798b5fba9951f834ec838106b6f,'ClassNA','MethodNA',0
20,mediacenterjs,BUG_FIX,https://github.com/jansmolders86/mediacenterjs/commit/0f20dc996e84249c2290b8c8c8d832198b4b48b6,901440913df6c9983270bb94b24b35e2bb952366,0f20dc996e84249c2290b8c8c8d832198b4b48b6,'ClassNA','MethodNA',0
21,mediacenterjs,BUG_FIX,https://github.com/jansmolders86/mediacenterjs/commit/901440913df6c9983270bb94b24b35e2bb952366,1deb01e2cc694592ed5045eba472a5fa4733d347,901440913df6c9983270bb94b24b35e2bb952366,'ClassNA','MethodNA',0
22,mediacenterjs,BUG_FIX,https://github.com/jansmolders86/mediacenterjs/commit/1deb01e2cc694592ed5045eba472a5fa4733d347,3dbc019a7f3bf44f5a3be5da607e22f13491bf94,1deb01e2cc694592ed5045eba472a5fa4733d347,'ClassNA','MethodNA',0
23,mediacenterjs,BUG_FIX,https://github.com/jansmolders86/mediacenterjs/commit/3dbc019a7f3bf44f5a3be5da607e22f13491bf94,940da15528d72fe38f77e06e3bf60e59d74ddb61,3dbc019a7f3bf44f5a3be5da607e22f13491bf94,'ClassNA','MethodNA',15,RESERVED:CONDITION:INSERTED:global:typeof:2,RESERVED:CONDITION:REMOVED:global:error:1,RESERVED:CONDITION:INSERTED:global:error:1,RESERVED:ARGUMENT:INSERTED:global:error:1,RESERVED:CONDITION:INSERTED:global:undefined:2,RESERVED:CONDITION:REMOVED:global:falsey:2,RESERVED:CONDITION:INSERTED:global:falsey:3,FIELD:CONDITION:INSERTED:global:length:1
24,mediacenterjs,OTHER,https://github.com/jansmolders86/mediacenterjs/commit/940da15528d72fe38f77e06e3bf60e59d74ddb61,a29e75c2b97f365378cacab1cce3414fff1fb20b,940da15528d72fe38f77e06e3bf60e59d74ddb61,'ClassNA','MethodNA',0
25,mediacenterjs,MERGE,https://github.com/jansmolders86/mediacenterjs/commit/a29e75c2b97f365378cacab1cce3414fff1fb20b,b0341236bc31b02b868ec8f7d21a69022c02ff51,a29e75c2b97f365378cacab1cce3414fff1fb20b,'ClassNA','MethodNA',29,RESERVED:CONDITION:REMOVED:global:error:2,RESERVED:METHOD_CALL:UPDATED:global:catch:2,RESERVED:PARAMETER_DECLARATION:UPDATED:global:callback:1,RESERVED:PARAMETER_DECLARATION:INSERTED:global:callback:1,RESERVED:CONDITION:REMOVED:global:falsey:4,RESERVED:STATEMENT:UPDATED:global:var:2,RESERVED:STATEMENT:REMOVED:global:return:1,FIELD:CONDITION:REMOVED:global:length:1
26,mediacenterjs,OTHER,https://github.com/jansmolders86/mediacenterjs/commit/35e6cd25fff225920911aa0c82baa48f98040e00,b0341236bc31b02b868ec8f7d21a69022c02ff51,35e6cd25fff225920911aa0c82baa48f98040e00,'ClassNA','MethodNA',29,RESERVED:CONDITION:REMOVED:global:error:2,RESERVED:METHOD_CALL:UPDATED:global:catch:2,RESERVED:PARAMETER_DECLARATION:UPDATED:global:callback:1,RESERVED:PARAMETER_DECLARATION:INSERTED:global:callback:1,RESERVED:CONDITION:REMOVED:global:falsey:4,RESERVED:STATEMENT:UPDATED:global:var:2,RESERVED:STATEMENT:REMOVED:global:return:1,FIELD:CONDITION:REMOVED:global:length:1
27,mediacenterjs,OTHER,https://github.com/jansmolders86/mediacenterjs/commit/b0341236bc31b02b868ec8f7d21a69022c02ff51,89dad7efd62ab2e9989b8a879a0d627207f1a3ac,b0341236bc31b02b868ec8f7d21a69022c02ff51,'ClassNA','MethodNA',0
